"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"0011496c-cabc-4f8e-942c-0bad23449f0c.mod","8","-255.284441941127","-239.166087824874","-207.62215974194","-207.62215974194","1706.64893561351","1718.75864486223"
"00179118-8aad-461d-b103-a72407748660.mod","4","-50","50","-100","100","0","0"
"00615105-6a2b-4b6d-9be6-490cff1e5c6b.mod","10","-20","20","-20","20","0","0"
"007ab637-b28d-44c5-9641-4adc8868bb1e.mod","5","1292.25584472427","1292.25584472427","-321.542243538067","-312.62215974194","1712.31036069142","1747.31036069142"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","8","-116.025890400008","-60.7754664000022","549.33064510488","549.33064510488","1062.50801290001","1149.5274307"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","8","60.7754664000022","116.025890400008","549.33064510488","549.33064510488","1062.50801290001","1149.5274307"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","6","-124.49578039918","-60.7754664000022","549.33064510488","549.33064510488","1079.08313982376","1154.08313982376"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","6","60.7754664000022","124.49578039918","549.33064510488","549.33064510488","1079.08313982376","1154.08313982376"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","-52.4879028000069","-44.2003392000042","549.33064510488","549.33064510488","1008.36259738001","1135.71482470001"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","-60.7754664000023","-52.4879028000067","549.33064510488","549.33064510488","1076.3206189","1135.71482470001"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","44.2003392000042","52.4879028000069","549.33064510488","549.33064510488","1008.36259738001","1135.71482470001"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","52.4879028000067","60.7754664000023","549.33064510488","549.33064510488","1076.3206189","1135.71482470001"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","5","-65.4957803992063","65.4957803991791","426.10162934266","426.10162934266","1154.08313982376","1172.93419603194"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","-150.157776484586","-52.4879028000068","549.33064510488","549.33064510488","1000.3512859","1014.1638919"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","52.4879028000068","150.157776484586","549.33064510488","549.33064510488","1000.3512859","1014.1638919"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","-116.025890400007","-74.5880724000017","549.33064510488","549.33064510488","1160.5775155","1167.93419603194"
"0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","4","-116.025890400007","-74.5880724000017","549.33064510488","549.33064510488","1154.08313982376","1160.5775155"
